alpha,m_W_final,m_Vk,m_Wstar,grassmann_dist,gamma_theoretical,positive_margin
1.2949811676082863,-11.100613892762489,0.28754763061466654,3.6999999999999975,2.5920159307218436,0.0003206396460998665,False
1.3243898305084745,-9.661679610596318,2.270258806722465,3.6999999999999975,2.570437575659248,0.00022522763536725506,False
1.3537984934086629,-8.365705355278727,2.062777718888132,3.6999999999999975,2.409348529381517,0.00012525490873439155,False
1.3832071563088513,-10.500569597483146,0.6486209187183287,3.6999999999999975,2.6196972774635636,2.072146620127769e-05,False
1.4126158192090394,-10.399727938498977,0.5783861581801688,3.6999999999999975,2.6529965223230647,-8.837269223208478e-05,False
1.4420244821092278,-10.552118513331925,0.7870833974987621,3.6999999999999975,2.637849698807579,-0.00020202756656569846,False
1.4714331450094162,-8.960803850373875,2.5542388012633683,3.6999999999999975,2.485406607980162,-0.00032024315679956335,False
1.5008418079096044,-10.013543362369145,0.16712261282286972,3.6999999999999975,2.6119525904090946,-0.00044301946293367686,False
1.5302504708097928,-11.016649724350732,1.642288525709624,3.6999999999999975,2.6288890779819156,-0.0005703564849680424,False
1.5596591337099812,-11.13878244851152,0.42227106769412354,3.6999999999999975,2.699260723784382,-0.0007022542229026566,False
1.5890677966101694,-10.481581999285163,2.657539207244677,3.6999999999999975,2.507037684740049,-0.0008387126767375221,False
1.6184764595103578,-10.763906504381653,0.5879557356377947,3.6999999999999975,2.544415220273309,-0.000979731846472637,False
1.6478851224105462,-10.322990332015435,0.8572891002998184,3.6999999999999975,2.677784155670217,-0.001125311732108004,False
1.6772937853107344,-10.086330671822191,1.3151347255171721,3.6999999999999975,2.5613493380518375,-0.0012754523336436204,False
1.7067024482109228,-9.33263271678014,0.3911909772512336,3.6999999999999975,2.6574001345673213,-0.0014301536510794863,False
1.7361111111111112,-10.116065721845365,0.5145408599326937,3.6999999999999975,2.5493365034420883,-0.0015894156844156026,False
